ID,Животное,Тип,Место наблюдения,Сезон,Количество особей,Температура воздуха (°C),Тип питания,Антропогенный фактор,Интересный факт
1,Омуль,рыба,Чивыркуйский залив,весна,83.0,-5.9456680698,всеядный,загрязнение,"Символ Байкала, нерестится в реках осенью"
2,Голомянка,рыба,Чивыркуйский залив,осень,224.0,9.2450493274,хищник,загрязнение,Уникальная живородящая рыба с прозрачным телом
3,Чайка,птица,Селенгинский район,зима,1.0,-19.465446857,хищник,нет влияния,"Гнездится колониями на скалах, питается рыбой"
4,Нерпа,млекопитающее,Селенгинский район,осень,6.0,14.5697954267,хищник,загрязнение,"Единственное млекопитающее Байкала, может нырять на 300 метров!"
5,Чайка,птица,Ольхон,осень,3.0,-3.9553277891,хищник,рыболовство,"Гнездится колониями на скалах, питается рыбой"
6,Эпишура,планктон,Ольхон,весна,7077.0,-2.9696675018,фильтратор,загрязнение,"Микроскопический рачок, фильтрует воду озера"
7,Голомянка,рыба,Малое Море,зима,354.0,-15.4380455668,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
8,Чайка,птица,Малое Море,осень,23.0,13.8455041988,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
9,Омуль,рыба,Чивыркуйский залив,лето,58.0,19.762096058,всеядный,туристы,"Символ Байкала, нерестится в реках осенью"
10,Эпишура,планктон,Баргузинский залив,лето,11177.0,17.0720614647,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
11,Эпишура,планктон,Баргузинский залив,лето,7914.0,17.5460636564,фильтратор,рыболовство,"Микроскопический рачок, фильтрует воду озера"
12,Чайка,птица,Селенгинский район,лето,22.0,15.6340217597,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
13,Чайка,птица,Чивыркуйский залив,осень,20.0,7.673272174,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
14,Чайка,птица,Баргузинский залив,зима,1.0,-12.1033051754,хищник,загрязнение,"Гнездится колониями на скалах, питается рыбой"
15,Чайка,птица,Баргузинский залив,лето,19.0,14.860953032,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
16,Голомянка,рыба,Селенгинский район,весна,262.0,2.3972452566,хищник,рыболовство,Уникальная живородящая рыба с прозрачным телом
17,Большой баклан,птица,Баргузинский залив,осень,211.0,1.119500857,хищник,туристы,Образует крупные гнездовые колонии нескольких десятков до тысяч пар
18,Чайка,птица,Малое Море,зима,1.0,-16.5629407971,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
19,Эпишура,планктон,Баргузинский залив,весна,4673.0,7.8009581975,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
20,Эпишура,планктон,Ольхон,весна,2040.0,-2.8876633959,фильтратор,туристы,"Микроскопический рачок, фильтрует воду озера"
21,Чайка,птица,Чивыркуйский залив,осень,3.0,-8.754479232,хищник,туристы,"Гнездится колониями на скалах, питается рыбой"
