ID,LON_LAT,frname,year,month,month_str,area_sum,count_fires,count_roads,MO_population,aspect,veg_category,7_days_SUM_APCP,kpo,7_days_AVG_RH,7_days_AVG_TMP,7_days_AVG_WIND_SPEED,dist_to_rivers,dist_to_railway,dist_to_roads,elevation
1,102.5 52.0,Усольское,2011,6,июнь,306.0,1,1,20.976861,92.9486846924,Хвойный лес,10.5,916.4491251956,51.675,22.965,2.175,3.7501183202,80.8923724361,24.3761444956,936.5
2,102.5 52.0,Усольское,2013,10,октябрь,20.0,1,1,20.976861,241.1134185791,Пастбища,19.9,0.9109797707,93.61875,1.14,2.5375,3.7501183202,80.8923724361,24.3761444956,936.5
3,102.5 52.5,Черемховское,2014,4,апрель,94.0,1,1,9.295758,4.5139846802,Редколесье,3.01,83.6883293321,77.253125,12.16,3.15,6.1397401056,46.8467658134,6.0653211329,487.0
4,102.5 52.5,Черемховское,2019,5,май,1688.0,2,1,9.295758,349.0511627197,Редколесье,17.0,2545.4119615402,51.8296875,15.320625,3.025,6.1397401056,46.8467658134,6.0653211329,487.0
5,102.5 53.0,Черемховское,2010,4,апрель,193.0,2,1,9.295758,28.4443359375,Редколесье,25.4,205.7838570084,87.284375,4.670625,3.3104642069,2.5993447797,37.2054086322,5.0131171399,459.8125
6,102.5 53.0,Черемховское,2011,4,апрель,201.0,1,1,9.295758,202.2855834961,Кустарники,4.3,101.9150806342,76.928125,9.3175,2.875,2.5993447797,37.2054086322,5.0131171399,459.8125
7,102.5 53.0,Черемховское,2012,4,апрель,63.0,1,1,9.295758,190.0690612793,Редколесье,13.5,37.5981925415,86.65,7.0375,3.75,2.5993447797,37.2054086322,5.0131171399,459.8125
8,102.5 53.0,Черемховское,2012,5,май,502.0,1,1,9.295758,128.6598052979,Поля,12.7,748.3670757951,58.221875,14.735,3.975,2.5993447797,37.2054086322,5.0131171399,459.8125
9,102.5 53.0,Черемховское,2013,4,апрель,77.0,1,1,9.295758,135.0,Пастбища,18.3,19.1524763911,93.915625,5.78,2.675,2.5993447797,37.2054086322,5.0131171399,459.8125
10,102.5 53.0,Черемховское,2014,4,апрель,5253.0,5,1,9.295758,82.5246623668,Редколесье,34.48,1271.4667476068,78.615625,10.961,2.715,2.5993447797,37.2054086322,5.0131171399,459.8125
11,102.5 53.0,Черемховское,2014,5,май,28.0,1,1,9.295758,71.5650482178,Редколесье,16.3,94.6969393164,50.090625,13.0,4.025,2.5993447797,37.2054086322,5.0131171399,459.8125
12,102.5 53.0,Черемховское,2015,5,май,158.0,1,1,9.295758,101.3099365234,Хвойный лес,4.2,668.1847351055,51.125,12.6175,3.5125,2.5993447797,37.2054086322,5.0131171399,459.8125
13,102.5 53.0,Черемховское,2016,5,май,55.0,1,1,9.295758,67.6198654175,Редколесье,6.6,638.6373809743,43.265625,16.6475,4.325,2.5993447797,37.2054086322,5.0131171399,459.8125
14,102.5 53.0,Черемховское,2017,4,апрель,48.0,1,1,9.295758,101.3099365234,Лиственный лес,14.6,304.816091402,64.390625,9.775,3.2,2.5993447797,37.2054086322,5.0131171399,459.8125
15,102.5 53.0,Черемховское,2019,4,апрель,40.0,1,1,9.295758,135.0,Пастбища,14.3,119.8956255669,68.6875,6.765,3.6125,2.5993447797,37.2054086322,5.0131171399,459.8125
16,103.0 51.5,Слюдянское,2013,5,май,65.0,1,1,9.325811,169.1144714355,Редколесье,15.9,239.3043362848,65.184375,11.5225,2.6,5.7010676533,32.5439084028,3.924637817,709.0
18,103.0 52.0,Усольское,2010,4,апрель,24.0,1,1,20.976861,104.5496368408,Редколесье,31.4,70.5180769568,90.390625,1.747125,2.8680495596,20.0652711163,58.3265384403,10.9718900317,724.1304347826
19,103.0 52.0,Усольское,2011,4,апрель,83.0,2,2,20.976861,333.4603157043,Хвойный лес,26.6,48.20464566,81.75,4.70875,2.5875,20.0652711163,58.3265384403,10.9718900317,724.1304347826
20,103.0 52.0,Усольское,2011,9,сентябрь,996.0,2,1,20.976861,109.3299064636,Редколесье,8.4,235.0869702635,67.5296875,15.00375,2.025,20.0652711163,58.3265384403,10.9718900317,724.1304347826
21,103.0 52.0,Усольское,2011,10,октябрь,350.0,2,1,20.976861,252.5877532959,Редколесье,32.5,365.5810542374,75.128125,8.149375,2.16875,20.0652711163,58.3265384403,10.9718900317,724.1304347826
22,103.0 52.0,Усольское,2013,5,май,334.0,1,1,20.976861,150.9660186768,Редколесье,12.6,228.483633346,78.715625,13.6425,2.15,20.0652711163,58.3265384403,10.9718900317,724.1304347826
24,103.0 52.0,Усольское,2014,5,май,130.0,3,2,20.976861,169.8611956158,Редколесье,49.2,548.558179516,63.4385416667,11.2975,2.6583333333,20.0652711163,58.3265384403,10.9718900317,724.1304347826
25,103.0 52.0,Усольское,2014,10,октябрь,88.0,1,1,20.976861,151.3138580322,Редколесье,9.8,48.6977800418,75.003125,6.7,2.3125,20.0652711163,58.3265384403,10.9718900317,724.1304347826
26,103.0 52.0,Усольское,2015,7,июль,63.0,1,1,20.976861,350.457611084,Редколесье,5.4,1403.5014855017,56.028125,24.77125,2.35,20.0652711163,58.3265384403,10.9718900317,724.1304347826
27,103.0 52.0,Усольское,2017,4,апрель,422.0,2,1,20.976861,16.7975769043,Лиственный лес,21.2,441.1397762187,84.1296875,6.251875,2.1,20.0652711163,58.3265384403,10.9718900317,724.1304347826
28,103.0 52.0,Усольское,2017,6,июнь,84.0,1,1,20.976861,137.3936157227,Лиственный лес,1.1,2807.3373064039,47.971875,28.3025,2.75,20.0652711163,58.3265384403,10.9718900317,724.1304347826
29,103.0 52.0,Усольское,2018,5,май,24.0,1,1,20.976861,345.5679321289,Редколесье,27.6,1081.2350640052,66.440625,18.49375,2.55,20.0652711163,58.3265384403,10.9718900317,724.1304347826
